,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,PWF,PWP,PWR,Sf,So,Su,ds_name,track_id
368,0.5884562330963304,0.42584854550000273,0.42361203099999045,0.4279123220000045,0.42584854550000273,0.7647058823529411,0.7222222222222222,0.8125,0.9411764705882353,0.8888888888888888,1.0,0.7333333333333334,0.6875,0.7857142857142857,0.9333333333333333,0.875,1.0,0.6008938496789854,0.4886571356251029,0.7800614700265883,0.6724306734163554,0.8265236391427727,0.5667656905906157,Epiphyte,Epiphyte_0265_straightlines
369,0.6671229004681977,0.09940746031745107,0.06655646775872626,0.6059420258999921,0.3198237505499968,0.5599999999999999,0.5384615384615384,0.5833333333333334,0.9600000000000001,0.9230769230769231,1.0,0.47619047619047616,0.45454545454545453,0.5,0.9523809523809523,0.9090909090909091,1.0,0.4577958663310665,0.30019180258859385,0.9638035320823677,0.6721672032970581,0.9370628079109383,0.5240305158180156,Epiphyte,Epiphyte_0266_straightup
370,0.5743926646719121,0.4637168639000002,0.45459429549999975,0.48409103599999526,0.4637168639000002,0.6666666666666667,0.6153846153846154,0.7272727272727273,0.9166666666666666,0.8461538461538461,1.0,0.6,0.5454545454545454,0.6666666666666666,0.9,0.8181818181818182,1.0,0.44303654735216597,0.3268751885975673,0.6872717138655662,0.6385772564612551,0.7986648487870952,0.5319508833567919,Epiphyte,Epiphyte_0267_superfreak
371,0.6061525298408836,0.4383670246999998,0.4383670246999998,0.4502001689999986,0.4502001689999986,0.7333333333333333,0.7333333333333333,0.7333333333333333,1.0,1.0,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,1.0,1.0,1.0,0.5460663011003847,0.8525093630495757,0.4016788131181676,0.5912069256406981,0.46606835714492767,0.8082099298445822,Epiphyte,Epiphyte_0268_supersonic
372,0.6116441898549713,0.40534124500000246,0.3727435624499975,0.6406712253400002,0.5230062351700013,0.5714285714285713,0.5454545454545454,0.6,0.9523809523809523,0.9090909090909091,1.0,0.47058823529411764,0.4444444444444444,0.5,0.9411764705882353,0.8888888888888888,1.0,0.5394400679766573,0.6657084815819447,0.4534347286385217,0.590926214074759,0.5279712134015936,0.6709272101402308,Epiphyte,Epiphyte_0269_sweettalk
373,0.5743926646719121,0.46311692380000125,0.4461785350000014,0.5275834370000041,0.46311692380000125,0.5833333333333334,0.5384615384615384,0.6363636363636364,0.9166666666666666,0.8461538461538461,1.0,0.5,0.45454545454545453,0.5555555555555556,0.9,0.8181818181818182,1.0,0.7191297935678698,0.574248274515587,0.9617862534874174,0.8014804503521781,0.9232276061578303,0.7081021518362747,Epiphyte,Epiphyte_0270_takeovercontrol
374,0.6334551677335781,0.1353618304479527,0.1309383518479521,0.13953886839999985,0.13496569250000068,0.888888888888889,0.8,1.0,0.888888888888889,0.8,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,0.75,1.0,0.5964639940446215,0.5695579817104531,0.6260381382223305,0.7333825430467418,0.755461811398885,0.712557212534441,Epiphyte,Epiphyte_0271_teachmehowtodougie
375,0.6548185243215425,0.11537998808842076,0.1115647475884245,0.12340980409999958,0.1130192934999954,0.9090909090909091,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,1.0,0.888888888888889,0.8,1.0,0.888888888888889,0.8,1.0,0.798888717038364,0.7921846637015605,0.8057072081615358,0.8072545037804725,0.8235540831515379,0.7915875972178474,Epiphyte,Epiphyte_0272_teachmehowtojerk
376,0.6083659238943623,0.9007833209499978,0.8981955438999876,0.918581184500006,0.903371098000008,0.2105263157894737,0.2,0.2222222222222222,0.9473684210526316,0.9,1.0,0.0,0.0,0.0,0.9333333333333333,0.875,1.0,0.5019171104480937,0.7196894069473233,0.3853217963219946,0.5741894749271375,0.48492349079134645,0.7037348208325931,Epiphyte,Epiphyte_0273_technologic
377,0.6627100062436075,0.4757445230500039,0.4757445230500039,0.4758404467000048,0.4758404467000048,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6,0.6,0.6,1.0,1.0,1.0,0.4901113997205138,0.4943578635534709,0.4859372676107054,0.6551959199866635,0.669587884786911,0.6414096123587333,Epiphyte,Epiphyte_0274_temperature
378,0.6869360486035143,0.259510485599999,0.2523598815500039,0.2754026453500007,0.259510485599999,0.923076923076923,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,1.0,0.9090909090909091,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,1.0,0.7987292514436903,0.6802757726670771,0.967131715110594,0.8443364098769545,0.9350093597312387,0.7696949032062812,Epiphyte,Epiphyte_0275_temptedtotouch
379,0.713852643830451,0.3136585378699994,0.20834675543498893,0.3326693447000082,0.3231639412850038,0.9411764705882353,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888,1.0,0.923076923076923,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,1.0,0.6637312428853879,0.7768974655447433,0.5793418237755108,0.7524512163941901,0.6943079538672441,0.8212226669463308,Epiphyte,Epiphyte_0276_texasflood
380,0.7213523552908906,0.03675859100000878,0.03295631200001026,0.03675859100000878,0.03295631200001026,0.7826086956521738,0.75,0.8181818181818182,0.9565217391304348,0.9166666666666666,1.0,0.7368421052631577,0.7,0.7777777777777778,0.9473684210526316,0.9,1.0,0.6101487956911607,0.7442401847893183,0.5169998050330188,0.7127345549462116,0.6535732457964976,0.7836724125954482,Epiphyte,Epiphyte_0277_thashiznit
381,0.717541633919582,0.1265787560000149,0.12259361165000726,0.1265787560000149,0.12259361165000726,0.8799999999999999,0.8461538461538461,0.9166666666666666,0.9600000000000001,0.9230769230769231,1.0,0.8571428571428572,0.8181818181818182,0.9,0.9523809523809523,0.9090909090909091,1.0,0.7349856168065088,0.6775559754075134,0.803052328525991,0.7986910826864289,0.8280936555410348,0.7713048715646036,Epiphyte,Epiphyte_0278_thatsthahomie
