,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,ds_name,track_id
0,0.5502800083248099,5.380572881000006,8.425393652844992,9.661914061999994,9.130639624344997,0.2608695652173913,0.2727272727272727,0.25,0.34782608695652173,0.36363636363636365,0.3333333333333333,0.10526315789473685,0.1111111111111111,0.1,0.2105263157894737,0.2222222222222222,0.2,Cerulean,Cerulean_50_Cent-Window_Shopper
1,0.4703750827786752,5.790933227499991,8.624496459999996,7.683717727899992,8.963162231000013,0.1764705882352941,0.21428571428571427,0.15,0.2941176470588235,0.35714285714285715,0.25,0.06666666666666667,0.08333333333333333,0.05555555555555555,0.2,0.25,0.16666666666666666,Cerulean,"Cerulean_Academy_of_Ancient_Music,_Andrew_Manze_&_Rachel_"
2,0.48291970469828316,3.087501907349985,9.961981201000015,4.0799547195500026,14.10642242450001,0.13333333333333333,0.2,0.1,0.26666666666666666,0.4,0.2,0.0,0.0,0.0,0.15384615384615383,0.25,0.1111111111111111,Cerulean,Cerulean_Aerosmith-Janie's_Got_a_Gun
3,0.45134080243210134,2.6537792640500015,7.673837280299992,5.603567505000001,7.876007080000022,0.19512195121951217,0.25,0.16,0.39024390243902435,0.5,0.32,0.1081081081081081,0.14285714285714285,0.08695652173913043,0.3243243243243243,0.42857142857142855,0.2608695652173913,Cerulean,Cerulean_Albert_King-Kansas_City
4,0.5832766800551464,3.954315141500004,6.010253906000003,6.874514007499997,7.738774108999991,0.1904761904761905,0.2,0.18181818181818182,0.380952380952381,0.4,0.36363636363636365,0.0,0.0,0.0,0.23529411764705882,0.25,0.2222222222222222,Cerulean,Cerulean_Alice_Cooper-Be_My_Lover
5,0.5502800083248099,1.9292231053750077,5.9788902283499965,4.261859130849999,7.2104554296249965,0.3,0.375,0.25,0.5,0.625,0.4166666666666667,0.125,0.16666666666666666,0.1,0.37499999999999994,0.5,0.3,Cerulean,Cerulean_Alice_Cooper-Under_My_Wheels
6,0.502001619189632,2.5802727065000006,7.2364685060000085,6.271334075950001,8.38090820299999,0.14814814814814817,0.2,0.11764705882352941,0.37037037037037035,0.5,0.29411764705882354,0.0,0.0,0.0,0.26086956521739135,0.375,0.2,Cerulean,Cerulean_Alkaline_Trio-Help_Me
7,0.49821512321568356,2.49351458549,2.9113403320000018,2.599414062000008,3.589820862049997,0.20689655172413793,0.23076923076923078,0.1875,0.5517241379310345,0.6153846153846154,0.5,0.08,0.09090909090909091,0.07142857142857142,0.4799999999999999,0.5454545454545454,0.42857142857142855,Cerulean,Cerulean_Amy_Grant-Lead_Me_On
8,0.5295766780147033,4.900546384500004,2.7249412537500106,7.474150848650002,4.157977295000009,0.21428571428571427,0.1875,0.25,0.42857142857142855,0.375,0.5,0.08333333333333333,0.07142857142857142,0.1,0.3333333333333333,0.2857142857142857,0.4,Cerulean,Cerulean_Andrea_Bocelli-Ave_Maria
9,0.5223817198902911,4.891088104450002,4.8131057738999985,5.5047805785499975,4.969070435000006,0.16,0.14285714285714285,0.18181818181818182,0.32,0.2857142857142857,0.36363636363636365,0.0,0.0,0.0,0.1904761904761905,0.16666666666666666,0.2222222222222222,Cerulean,Cerulean_Andrea_Bocelli-Marechiare
10,0.5357938279961953,3.6982747553650066,3.169160080000001,4.353376770000025,4.500317383000038,0.16,0.16666666666666666,0.15384615384615385,0.32,0.3333333333333333,0.3076923076923077,0.0,0.0,0.0,0.1904761904761905,0.2,0.18181818181818182,Cerulean,Cerulean_Andrew_Bird-Sic_of_Elephants
11,0.46094764477439354,1.0892776489499987,3.645079422000002,1.5135131835499998,4.654920577999999,0.12903225806451613,0.2,0.09523809523809523,0.5161290322580645,0.8,0.38095238095238093,0.0,0.0,0.0,0.44444444444444436,0.75,0.3157894736842105,Cerulean,Cerulean_Astor_Piazzolla-El_Desbande
12,0.6083659238943623,2.2443353004099986,0.7204544067,8.312744140500001,7.671611022900009,0.3529411764705882,0.3,0.42857142857142855,0.47058823529411764,0.4,0.5714285714285714,0.15384615384615385,0.125,0.2,0.3076923076923077,0.25,0.4,Cerulean,Cerulean_B.B._King-Sweet_Little_Angel
13,0.495464326617891,3.119969177500053,4.440792846500017,3.792486572500053,5.741592407000013,0.22222222222222224,0.25,0.2,0.4444444444444445,0.5,0.4,0.125,0.14285714285714285,0.1111111111111111,0.375,0.42857142857142855,0.3333333333333333,Cerulean,Cerulean_Bauhaus-Bela_Lugosi's_Dead
14,0.5357938279961953,2.0746940613000007,2.0746940613000007,3.80609130900001,3.80609130900001,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.45454545454545453,Cerulean,Cerulean_Berliner_Philharmoniker_&_Claudio_Abbado-Nocturn
15,0.5888357863647751,3.531633314000004,2.266027832000006,12.136590576000003,4.364467930565001,0.23529411764705885,0.18181818181818182,0.3333333333333333,0.4705882352941177,0.36363636363636365,0.6666666666666666,0.0,0.0,0.0,0.30769230769230765,0.2222222222222222,0.5,Cerulean,Cerulean_Billie_Holiday-This_Year's_Kisses
16,0.5660273828745788,1.0790473938000034,1.1598639455782376,1.1898857116999988,1.4407653809000038,0.33333333333333326,0.42857142857142855,0.2727272727272727,0.7777777777777778,1.0,0.6363636363636364,0.14285714285714285,0.2,0.1111111111111111,0.7142857142857143,1.0,0.5555555555555556,Cerulean,Cerulean_Black_Flag-My_Rules
17,0.4703750827786753,1.764716506,3.119592285500005,2.522760010000013,3.801553345000002,0.2162162162162162,0.23529411764705882,0.2,0.5405405405405405,0.5882352941176471,0.5,0.1212121212121212,0.13333333333333333,0.1111111111111111,0.4848484848484848,0.5333333333333333,0.4444444444444444,Cerulean,Cerulean_Black_Sabbath-War_Pigs
18,0.4431759595373043,1.53251695633,1.6653930659999787,1.6022155759999919,1.681991576999991,0.09090909090909093,0.1111111111111111,0.07692307692307693,0.7272727272727274,0.8888888888888888,0.6153846153846154,0.03225806451612903,0.04,0.02702702702702703,0.7096774193548386,0.88,0.5945945945945946,Cerulean,Cerulean_Bob_Dylan-Hurricane
19,0.4352876407284042,4.034936522999999,4.837962341349989,4.560824584999978,5.252770996350005,0.08888888888888889,0.09523809523809523,0.08333333333333333,0.22222222222222224,0.23809523809523808,0.20833333333333334,0.0,0.0,0.0,0.14634146341463414,0.15789473684210525,0.13636363636363635,Cerulean,Cerulean_Bob_Dylan-Like_a_Rolling_Stone_(Live)
20,0.5223817198902911,6.139071654999995,7.194464111000002,8.284930419999995,8.197381592,0.14814814814814817,0.14285714285714285,0.15384615384615385,0.22222222222222224,0.21428571428571427,0.23076923076923078,0.0,0.0,0.0,0.08695652173913043,0.08333333333333333,0.09090909090909091,Cerulean,Cerulean_Bob_Dylan-Mr._Tambourine_Man
21,0.5502800083248099,2.0147395609799945,1.8932434079999894,5.048962402400001,3.1056732178000033,0.17391304347826086,0.16666666666666666,0.18181818181818182,0.5217391304347826,0.5,0.5454545454545454,0.0,0.0,0.0,0.4210526315789474,0.4,0.4444444444444444,Cerulean,Cerulean_Bob_Marley-No_Woman_No_Cry
22,0.5266215085276709,1.6599990845000008,2.8924194340000327,2.8924194340000327,2.91411132799999,0.14285714285714288,0.15384615384615385,0.13333333333333333,0.6428571428571429,0.6923076923076923,0.6,0.0,0.0,0.0,0.5833333333333334,0.6363636363636364,0.5384615384615384,Cerulean,Cerulean_Boston_Symphony_Orchestra_&_Charles_Munch-Sympho
23,0.50019921577113,8.287396240500016,8.211071777499996,9.782971191499996,9.105330657999986,0.1764705882352941,0.15,0.21428571428571427,0.23529411764705882,0.2,0.2857142857142857,0.06666666666666667,0.05555555555555555,0.08333333333333333,0.13333333333333333,0.1111111111111111,0.16666666666666666,Cerulean,Cerulean_Bournemouth_Symphony_Orchestra_&_Marin_Alsop-Sol
24,0.5832766800551464,7.979254150349997,5.586264037999996,10.761655426049998,5.9281632661799994,0.3157894736842105,0.3,0.3333333333333333,0.4210526315789474,0.4,0.4444444444444444,0.13333333333333333,0.125,0.14285714285714285,0.26666666666666666,0.25,0.2857142857142857,Cerulean,Cerulean_Chet_Baker-Isn't_It_Romantic?
25,0.5098953459681937,2.6179372074699954,5.258500670999993,4.0956474305000015,5.280505370999975,0.16,0.2,0.13333333333333333,0.4,0.5,0.3333333333333333,0.0,0.0,0.0,0.2857142857142857,0.375,0.23076923076923078,Cerulean,Cerulean_Chick_Corea-Spain
26,0.5223817198902911,5.670226288049996,6.050000000000011,6.016937256000006,6.746916198500003,0.16666666666666666,0.2,0.14285714285714285,0.25,0.3,0.21428571428571427,0.0,0.0,0.0,0.1,0.125,0.08333333333333333,Cerulean,Cerulean_Cincinnati_Symphony_Orchestra_&_Paavo_Jarvi-The_
27,0.5660273828745789,4.370612956999992,2.897189331000007,8.566394043000003,4.562583923500007,0.2105263157894737,0.18181818181818182,0.25,0.4210526315789474,0.36363636363636365,0.5,0.0,0.0,0.0,0.26666666666666666,0.2222222222222222,0.3333333333333333,Cerulean,Cerulean_Coleman_Hawkins-Body_and_Soul
28,0.49821512321568356,3.2370117190000087,8.015061020754993,5.90938720699998,9.462657165449995,0.16,0.2222222222222222,0.125,0.16,0.2222222222222222,0.125,0.0,0.0,0.0,0.0,0.0,0.0,Cerulean,Cerulean_Count_Basie-Smack_Dab_in_the_Middle
29,0.5502800083248099,1.360186767999977,0.820567321799998,1.6649475100000046,1.250138092249987,0.2962962962962963,0.26666666666666666,0.3333333333333333,0.888888888888889,0.8,1.0,0.17391304347826086,0.15384615384615385,0.2,0.8695652173913044,0.7692307692307693,1.0,Cerulean,Cerulean_Cream-White_Room
30,0.5138959006151934,1.7337196350500008,5.059228515499996,2.917369413394999,7.8102714538499995,0.23076923076923075,0.3,0.1875,0.4615384615384615,0.6,0.375,0.09090909090909091,0.125,0.07142857142857142,0.36363636363636365,0.5,0.2857142857142857,Cerulean,Cerulean_Cyndi_Lauper-Time_After_Time
31,0.5888357863647751,3.406805420000012,12.493194579999994,7.293016052199988,12.493194579999994,0.09999999999999999,0.1111111111111111,0.09090909090909091,0.19999999999999998,0.2222222222222222,0.18181818181818182,0.0,0.0,0.0,0.125,0.14285714285714285,0.1111111111111111,Cerulean,Cerulean_Daft_Punk-Around_the_World_(Radio_Edit)
32,0.5403026083468738,1.8446518422950127,4.386575317449996,4.386575317449996,7.25,0.16666666666666666,0.2,0.14285714285714285,0.5,0.6,0.42857142857142855,0.0,0.0,0.0,0.4,0.5,0.3333333333333333,Cerulean,Cerulean_Danny_Elfman-Beetlejuice:_Main_Titles__End_Title
33,0.46094764477439354,1.935455369794993,5.8399093628,2.351169395299994,5.863406372,0.12121212121212123,0.16666666666666666,0.09523809523809523,0.5454545454545454,0.75,0.42857142857142855,0.0,0.0,0.0,0.48275862068965514,0.7,0.3684210526315789,Cerulean,Cerulean_Depeche_Mode-Enjoy_the_Silence
34,0.5138959006151934,1.7851296662100105,3.9126831054999798,2.905151367000002,5.895498657499999,0.28571428571428575,0.3333333333333333,0.25,0.5,0.5833333333333334,0.4375,0.16666666666666666,0.2,0.14285714285714285,0.41666666666666663,0.5,0.35714285714285715,Cerulean,Cerulean_Dire_Straits-Sultans_of_Swing
35,0.4128096526839474,1.278068161150017,2.404312133800005,1.5862770080000175,2.852795409999999,0.0851063829787234,0.1,0.07407407407407407,0.6382978723404256,0.75,0.5555555555555556,0.0,0.0,0.0,0.6046511627906976,0.7222222222222222,0.52,Cerulean,Cerulean_Dream_Theater-6:00:00
