,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,ds_name,track_id
0,0.5999868966455678,0.5099842913537387,0.8732915487450011,0.8732915487450011,1.3340819847450045,0.45454545454545453,0.5,0.4166666666666667,0.9090909090909091,1.0,0.8333333333333334,0.33333333333333326,0.375,0.3,0.888888888888889,1.0,0.8,Isophonics,Isophonics_01_-_A_Hard_Day's_Night
1,0.5138959006151934,3.7815303955000132,1.1039710385999904,6.912341537569997,2.87863738999998,0.28571428571428575,0.25,0.3333333333333333,0.5,0.4375,0.5833333333333334,0.16666666666666666,0.14285714285714285,0.2,0.41666666666666663,0.35714285714285715,0.5,Isophonics,Isophonics_01_-_Come_Together
2,0.600976527860907,0.19830612244899726,1.5190603030000034,0.6911563920999999,1.9870572510000102,0.4545454545454546,0.5555555555555556,0.38461538461538464,0.7272727272727274,0.8888888888888888,0.6153846153846154,0.33333333333333326,0.42857142857142855,0.2727272727272727,0.6666666666666665,0.8571428571428571,0.5454545454545454,Isophonics,Isophonics_01_-_Drive_My_Car
3,0.5223817198902911,1.2555773393500003,0.6665686039999912,1.5011244136550004,1.0595406647,0.32,0.2857142857142857,0.36363636363636365,0.8,0.7142857142857143,0.9090909090909091,0.1904761904761905,0.16666666666666666,0.2222222222222222,0.761904761904762,0.6666666666666666,0.8888888888888888,Isophonics,Isophonics_01_-_Help!
4,0.5266215085276709,1.6844951934999948,2.4263890380000106,2.0897375335500037,3.2736345215,0.14814814814814814,0.16666666666666666,0.13333333333333333,0.5925925925925926,0.6666666666666666,0.5333333333333333,0.0,0.0,0.0,0.5217391304347826,0.6,0.46153846153846156,Isophonics,Isophonics_01_-_I_Saw_Her_Standing_There
5,0.5743926646719121,0.5419881299100034,0.9052938842999936,0.7351952376599983,0.9056689453000004,0.380952380952381,0.5,0.3076923076923077,0.761904761904762,1.0,0.6153846153846154,0.23529411764705885,0.3333333333333333,0.18181818181818182,0.7058823529411764,1.0,0.5454545454545454,Isophonics,Isophonics_01_-_It_Won't_Be_Long
6,0.5816771095230489,0.4656582766905899,0.7448925170999985,1.0631288299499957,1.381365142799993,0.48000000000000004,0.5,0.46153846153846156,0.9600000000000001,1.0,0.9230769230769231,0.380952380952381,0.4,0.36363636363636365,0.9523809523809523,1.0,0.9090909090909091,Isophonics,Isophonics_01_-_Magical_Mystery_Tour
7,0.5832766800551464,1.4605127411000005,0.9454242249999965,2.8767689895499977,1.4605127411000005,0.22222222222222224,0.2,0.25,0.6666666666666665,0.6,0.75,0.0,0.0,0.0,0.5714285714285715,0.5,0.6666666666666666,Isophonics,Isophonics_01_-_No_Reply
8,0.5888357863647751,0.5976196289999933,0.11278275015884276,0.6684611816000015,0.3244122925500008,0.5263157894736842,0.45454545454545453,0.625,0.7368421052631579,0.6363636363636364,0.875,0.4,0.3333333333333333,0.5,0.6666666666666667,0.5555555555555556,0.8333333333333334,Isophonics,Isophonics_01_-_Sgt._Pepper's_Lonely_Hearts_Club_Band
9,0.5138959006151934,1.5468439779449996,4.495836517500003,2.6038056717,4.835445373499994,0.23076923076923075,0.3,0.1875,0.5384615384615384,0.7,0.4375,0.09090909090909091,0.125,0.07142857142857142,0.45454545454545453,0.625,0.35714285714285715,Isophonics,Isophonics_01_-_Taxman
10,0.495464326617891,3.549903411749993,1.6091357419999994,5.119512328999988,2.1371252439999964,0.125,0.1,0.16666666666666666,0.5625000000000001,0.45,0.75,0.0,0.0,0.0,0.5,0.3888888888888889,0.7,Isophonics,Isophonics_01_-_Two_of_Us
11,0.6302218310330651,0.8345040279999978,0.8345040279999978,1.6382357139600001,7.047636901899999,0.375,0.42857142857142855,0.3333333333333333,0.6250000000000001,0.7142857142857143,0.5555555555555556,0.16666666666666666,0.2,0.14285714285714285,0.5,0.6,0.42857142857142855,Isophonics,Isophonics_02_-_All_I've_Got_To_Do
12,0.623713875443929,0.40663046574489314,0.09306122448978726,0.7230637207000008,0.720199706999999,0.5161290322580646,0.5,0.5333333333333333,0.967741935483871,0.9375,1.0,0.4444444444444445,0.42857142857142855,0.46153846153846156,0.962962962962963,0.9285714285714286,1.0,Isophonics,Isophonics_02_-_Dig_a_Pony
13,0.5888357863647751,0.7804879149999948,0.7449217224000009,1.1502353519999957,1.1502353519999957,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778,Isophonics,Isophonics_02_-_Eleanor_Rigby
14,0.5711877115241564,1.1842584137949999,0.9895650177100004,2.3710316010600048,2.3710316010600048,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3,0.3,0.3,0.5,0.5,0.5,Isophonics,Isophonics_02_-_I'm_a_Loser
15,0.5711877115241564,2.237407958999995,2.270586913999992,2.3037658689999887,3.167718933049997,0.17391304347826086,0.18181818181818182,0.16666666666666666,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.0,0.0,0.0,0.5263157894736842,0.5555555555555556,0.5,Isophonics,Isophonics_02_-_I_Should_Have_Known_Better
16,0.5888357863647751,1.3929369353999999,1.3929369353999999,1.4630887146000013,1.81511548615,0.19999999999999998,0.2222222222222222,0.18181818181818182,0.7999999999999999,0.8888888888888888,0.7272727272727273,0.0,0.0,0.0,0.75,0.8571428571428571,0.6666666666666666,Isophonics,Isophonics_02_-_Misery
17,0.6202530792244967,1.8724360352000105,1.8724360352000105,1.8779385529000017,1.8779385529000017,0.2727272727272727,0.2727272727272727,0.2727272727272727,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0,Isophonics,Isophonics_02_-_Norwegian_Wood_(This_Bird_Has_Flown)
18,0.6202530792244967,0.8849792480000076,0.6140484008999991,1.73979582787,1.3123875379350038,0.380952380952381,0.36363636363636365,0.4,0.8571428571428572,0.8181818181818182,0.9,0.23529411764705882,0.2222222222222222,0.25,0.823529411764706,0.7777777777777778,0.875,Isophonics,Isophonics_02_-_Something
19,0.5357938279961953,4.700667663499999,2.6000665280000135,7.17580340584999,6.801268798999985,0.16,0.16666666666666666,0.15384615384615385,0.48000000000000004,0.5,0.46153846153846156,0.0,0.0,0.0,0.380952380952381,0.4,0.36363636363636365,Isophonics,Isophonics_02_-_The_Fool_On_The_Hill
