,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,ds_name,track_id
0,0.5711877115241565,1.1183637140999991,0.6307155410000007,3.186067129899996,1.6060118871999975,0.2608695652173913,0.25,0.2727272727272727,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.10526315789473685,0.1,0.1111111111111111,0.5263157894736842,0.5,0.5555555555555556,Epiphyte,Epiphyte_0001_12step
1,0.45198536542359785,5.316852350799998,1.0975277127999945,7.311421964450002,2.0747993896799963,0.29411764705882354,0.22727272727272727,0.4166666666666667,0.4705882352941177,0.36363636363636365,0.6666666666666666,0.2,0.15,0.3,0.4,0.3,0.6,Epiphyte,Epiphyte_0002_13stepstonowhere
2,0.5582234968034566,2.006729084000014,0.8297336482999995,2.0088664508999976,1.067386854500004,0.30303030303030304,0.2631578947368421,0.35714285714285715,0.7878787878787878,0.6842105263157895,0.9285714285714286,0.20689655172413793,0.17647058823529413,0.25,0.7586206896551724,0.6470588235294118,0.9166666666666666,Epiphyte,Epiphyte_0003_6foot7foot
3,0.4728949037454486,2.823470530999998,0.21146282800000904,5.507711241900001,0.2517807310600002,0.43749999999999994,0.3333333333333333,0.6363636363636364,0.6875000000000001,0.5238095238095238,1.0,0.35714285714285715,0.2631578947368421,0.5555555555555556,0.6428571428571429,0.47368421052631576,1.0,Epiphyte,Epiphyte_0004_abc
4,0.5064242216507386,3.2122797985000062,0.46407184445000027,5.582544497299992,0.47817707760000516,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,1.0,0.37499999999999994,0.2727272727272727,0.6,0.625,0.45454545454545453,1.0,Epiphyte,Epiphyte_0005_again
5,0.4543529890866587,6.397749933,0.32471929095466123,7.023551922899998,0.5999508920499999,0.36363636363636365,0.2608695652173913,0.6,0.6060606060606061,0.43478260869565216,1.0,0.27586206896551724,0.19047619047619047,0.5,0.5517241379310345,0.38095238095238093,1.0,Epiphyte,Epiphyte_0006_aint2proud2beg
6,0.41744579850245117,7.974258839000001,0.323280749999995,11.077684766000004,0.83173250325,0.29411764705882354,0.2,0.5555555555555556,0.5294117647058824,0.36,1.0,0.2,0.13043478260869565,0.42857142857142855,0.4666666666666667,0.30434782608695654,1.0,Epiphyte,Epiphyte_0007_allthethingsthatgo
7,0.5239750685845935,1.0550976420000033,0.6653932919999903,1.5579468447050049,0.9049967689999967,0.43750000000000006,0.3888888888888889,0.5,0.8125000000000001,0.7222222222222222,0.9285714285714286,0.35714285714285715,0.3125,0.4166666666666667,0.7857142857142857,0.6875,0.9166666666666666,Epiphyte,Epiphyte_0008_america
8,0.49821512321568356,1.2265303576649988,0.8950568500000031,2.3327457195849983,0.912991164999994,0.14814814814814814,0.125,0.18181818181818182,0.7407407407407406,0.625,0.9090909090909091,0.0,0.0,0.0,0.6956521739130435,0.5714285714285714,0.8888888888888888,Epiphyte,Epiphyte_0009_americanmusic
9,0.29705127431134526,9.691080197699993,0.6716359549999851,10.353520492700003,0.6915563579999571,0.13513513513513514,0.08620689655172414,0.3125,0.40540540540540543,0.25862068965517243,0.9375,0.08571428571428572,0.05357142857142857,0.21428571428571427,0.3714285714285714,0.23214285714285715,0.9285714285714286,Epiphyte,Epiphyte_0010_andjusticeforall
