,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,ds_name,track_id
0,0.5502800083248099,1.9239624020000008,2.825334610954999,3.403705505399998,3.453453872699999,0.1904761904761905,0.2222222222222222,0.16666666666666666,0.4761904761904762,0.5555555555555556,0.4166666666666667,0.0,0.0,0.0,0.3529411764705882,0.42857142857142855,0.3,Isophonics,Isophonics_01_-_A_Hard_Day's_Night
1,0.5295766780147033,1.6204641113500067,1.0783245240000028,2.020683868199999,1.4456097716500054,0.28571428571428575,0.25,0.3333333333333333,0.7142857142857143,0.625,0.8333333333333334,0.16666666666666666,0.14285714285714285,0.2,0.6666666666666666,0.5714285714285714,0.8,Isophonics,Isophonics_01_-_Come_Together
2,0.5266215085276709,1.4189274330100003,1.174075897199998,1.5190603030000034,1.4189274330100003,0.21428571428571427,0.2,0.23076923076923078,0.6428571428571429,0.6,0.6923076923076923,0.08333333333333334,0.07692307692307693,0.09090909090909091,0.5833333333333334,0.5384615384615384,0.6363636363636364,Isophonics,Isophonics_01_-_Drive_My_Car
3,0.5138959006151934,2.4801937256999977,1.4516140140000005,2.8575851746999987,1.7561387176499998,0.14814814814814814,0.125,0.18181818181818182,0.5925925925925926,0.5,0.7272727272727273,0.0,0.0,0.0,0.5217391304347826,0.42857142857142855,0.6666666666666666,Isophonics,Isophonics_01_-_Help!
4,0.5098953459681937,1.2309969330000001,1.2309969330000001,2.161609375000012,2.5073762816999903,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.6153846153846154,0.6153846153846154,0.6153846153846154,Isophonics,Isophonics_01_-_I_Saw_Her_Standing_There
5,0.5550932463340537,0.7470000472100019,0.5998367338199999,1.3582493743000015,0.8941633606000039,0.4444444444444445,0.42857142857142855,0.46153846153846156,0.888888888888889,0.8571428571428571,0.9230769230769231,0.34782608695652173,0.3333333333333333,0.36363636363636365,0.8695652173913043,0.8333333333333334,0.9090909090909091,Isophonics,Isophonics_01_-_It_Won't_Be_Long
6,0.5357938279961953,1.2740466459000004,1.1667281490000079,1.440411411249996,1.381365142799993,0.29629629629629634,0.2857142857142857,0.3076923076923077,0.7407407407407408,0.7142857142857143,0.7692307692307693,0.17391304347826086,0.16666666666666666,0.18181818181818182,0.6956521739130435,0.6666666666666666,0.7272727272727273,Isophonics,Isophonics_01_-_Magical_Mystery_Tour
7,0.5357938279961953,3.0319802250000123,0.9454242249999965,4.35402917099,1.4421876831500064,0.1904761904761905,0.15384615384615385,0.25,0.5714285714285714,0.46153846153846156,0.75,0.0,0.0,0.0,0.4705882352941177,0.36363636363636365,0.6666666666666666,Isophonics,Isophonics_01_-_No_Reply
8,0.4671135540195007,2.41487526894,0.6088936615499954,3.6639897461000004,0.6267102508499995,0.14814814814814814,0.10526315789473684,0.25,0.5185185185185185,0.3684210526315789,0.875,0.0,0.0,0.0,0.4347826086956522,0.29411764705882354,0.8333333333333334,Isophonics,Isophonics_01_-_Sgt._Pepper's_Lonely_Hearts_Club_Band
9,0.49821512321568356,1.2944880675999997,2.208132690500001,1.380784546000001,3.4333995285000007,0.2580645161290323,0.26666666666666666,0.25,0.5161290322580646,0.5333333333333333,0.5,0.14814814814814817,0.15384615384615385,0.14285714285714285,0.4444444444444445,0.46153846153846156,0.42857142857142855,Isophonics,Isophonics_01_-_Taxman
10,0.43751719357382374,7.217304321,0.980886718999995,8.16193231199999,3.0312346572849984,0.10810810810810811,0.08,0.16666666666666666,0.3783783783783784,0.28,0.5833333333333334,0.0,0.0,0.0,0.30303030303030304,0.21739130434782608,0.5,Isophonics,Isophonics_01_-_Two_of_Us
11,0.6236613424117626,1.8700611705800014,2.1018866272000025,4.458249374399998,6.814612121599993,0.23529411764705882,0.25,0.2222222222222222,0.5882352941176471,0.625,0.5555555555555556,0.0,0.0,0.0,0.4615384615384615,0.5,0.42857142857142855,Isophonics,Isophonics_02_-_All_I've_Got_To_Do
12,0.5012988399287389,5.501764403999999,2.3526054689999967,6.099451415999994,4.667591217000002,0.1111111111111111,0.09523809523809523,0.13333333333333333,0.4444444444444444,0.38095238095238093,0.5333333333333333,0.0,0.0,0.0,0.37499999999999994,0.3157894736842105,0.46153846153846156,Isophonics,Isophonics_02_-_Dig_a_Pony
